1327613622,2,1,3,1,3
1327594383,7,5,5,15,7
1327593490,2,5,4,0,3
1327552915,5,5,4,1,5
1327403542,2,5,4,2,4
1326675682,2,5,4,2,1
1326652710,2,5,4,0,5
1326600032,2,5,4,0,0
1326456558,5,5,3,2,8
1326436895,4,4,5,2,4
1365045897,5,1,4,20,3
1365045799,9,5,4,39,0
1365042912,4,5,5,3,5
1365041602,7,5,5,15,5
1365038092,5,3,5,12,2
1337555499,3,5,5,10,7
1334624852,4,5,3,15,7
1334478445,4,5,4,29,7
1334341473,4,5,3,9,9
1333886016,5,5,5,20,7
1333648942,4,5,3,20,7
1333528938,5,4,1,11,5,
1333130001,4,5,4,15,5
1333120866,5,5,5,20,9
1333115308,3,5,3,13,4
1333095315,7,5,4,18,8
